기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
2015.01,모리셔스,114,"2,430",25,362,"2,068"
2015.01,마다카스카르,57,"2,379",41,"14,055","-11,677"
2015.01,라이베리아,41,"2,340",11,212,"2,128"
2015.01,쿠바,48,"2,227",10,953,"1,274"
2015.01,세이쉘,48,"2,190",5,177,"2,013"
2015.01,짐바브웨,45,"2,187",12,"2,664",-478
2015.01,토고,76,"2,179",10,"7,549","-5,369"
2015.01,아이슬란드,32,"2,164",97,"2,760",-596
2015.01,말라위,22,"1,963",7,"5,443","-3,480"
2015.01,잠비아,41,"1,866",18,"31,678","-29,812"
2015.01,네덜란드 열도,36,"1,796",5,77,"1,719"
2015.01,베라루스,64,"1,727",27,"4,569","-2,842"
2015.01,카메룬,41,"1,720",8,426,"1,294"
2015.01,기타국,28,"1,685",341,"4,280","-2,595"
2015.01,네팔,120,"1,607",43,86,"1,521"
2015.01,아루바,31,"1,550",3,"3,716","-2,166"
2015.01,불령 폴리네시아,38,"1,507",0,0,"1,507"
2015.01,수리남,33,"1,455",4,250,"1,204"
2015.01,바하마,24,"1,399",5,"10,718","-9,319"
2015.01,말리,14,"1,371",0,2,"1,370"
2015.01,콩고민주공화국,22,"1,263",26,"16,540","-15,278"
2015.01,타지크,181,"1,244",3,"3,958","-2,714"
2015.01,부르키나 파소,10,"1,187",3,236,951
2015.01,바베이도스,24,"1,007",0,0,"1,007"
2015.01,불령 리유니온 코모도 제도,31,940,0,0,940
2015.01,자마이카,39,918,13,"1,086",-168
2015.01,세인트 키츠 네비스,7,911,3,2,909
2015.01,북마리아나 군도,100,904,1,2,902
2015.01,아메리칸 사모아,16,901,1,672,229
2015.01,알바니아,22,896,46,175,721
2015.01,룩셈부르그,74,888,138,"2,604","-1,716"
2015.01,루안다,22,855,5,112,743
2015.01,우간다,30,840,9,82,757
2015.01,티모르,14,825,2,92,733
2015.01,몰도바,24,783,34,"1,157",-375
2015.01,영령 버진군도,3,748,0,0,748
2015.01,가이아나,26,707,6,167,540
2015.01,리히텐슈타인,15,662,37,777,-115
2015.01,가봉,22,660,6,"10,426","-9,766"
2015.01,시에라 리온,12,630,24,"1,405",-774
2015.01,마티니크,14,583,3,0,583
2015.01,영령 캐이맨 군도,11,565,0,0,564
2015.01,보츠와나,12,461,1,10,451
2015.01,벨리제,9,436,2,1,434
2015.01,나미비아,12,434,5,"5,001","-4,566"
2015.01,키리바티,40,405,3,301,104
2015.01,바누아투,28,402,11,"1,425","-1,023"
2015.01,스와질랜드,17,395,16,226,169
2015.01,모리타니,15,358,15,"2,336","-1,978"
2015.01,챠드,9,326,1,0,326
2015.01,안티가 바부다,5,306,0,0,306
2015.01,보스니아-헤르체고비나,8,305,37,792,-487
2015.01,아르메니아,25,304,10,292,12
2015.01,에리트리아,3,297,1,"13,834","-13,537"
2015.01,세인트 빈센트 그레나딘,5,286,0,0,286
2015.01,마이크로네시아,20,282,2,31,251
2015.01,세인트 루시아,7,265,1,2,263
2015.01,소말리아,5,256,4,256,0
2015.01,국제통화기금,3,248,0,0,248
2015.01,과델로프,10,242,0,0,242
2015.01,몰디브,34,234,3,2,232
2015.01,부탄,19,230,5,2,229
2015.01,솔로몬 군도,9,210,3,603,-393
2015.01,메요트,1,181,0,0,181
2015.01,팔라우,19,175,1,1,174
2015.01,투르크 & 카이코스 군도,1,132,0,0,132
2015.01,지브랄타,25,130,0,0,130
2015.01,도미니카,12,130,0,0,130
2015.01,니제르,2,107,1,19,88
2015.01,감비아,5,104,1,31,73
2015.01,남수단,2,96,0,0,96
2015.01,안도라,1,76,1,4,72
2015.01,그레나다,2,73,0,0,73
2015.01,통가,2,64,1,6,57
2015.01,적도 기니,3,60,3,"133,659","-133,599"
2015.01,마세도니아,8,46,8,83,-38
2015.01,카보 베르데,2,40,0,0,40
2015.01,불령 가이아나,2,37,2,121,-84
2015.01,레소토,2,32,0,0,32
2015.01,쿡 아일랜드,1,31,1,0,31
2015.01,중앙아프리카공화국,2,26,0,0,26
2015.01,몬테네그로,4,16,1,1,15
2015.01,모나코,4,13,5,401,-388
2015.01,앙귈라,2,12,1,0,12
2015.01,세인트 헬레나,1,8,0,0,8
2015.01,부룬디,1,7,1,14,-7
2015.01,포클랜드 군도,1,2,2,250,-249
2015.01,미령 버진군도,3,1,4,7,-6
2015.01,파로에 군도,1,1,0,0,1
2015.01,남조지아 & 남샌드위치 군도,1,1,0,31,-31
2015.01,코스 군도,0,0,2,2,-2
2015.01,토켈라우,0,0,3,153,-153
2015.01,기네비소,0,0,3,161,-161
2015.01,니우에,0,0,1,4,-4
2015.01,크리스마스 아일랜드,0,0,0,0,0
2015.01,나우르,0,0,0,0,0
2015.01,몬트세라트,0,0,1,0,0
2015.01,코모로스,0,0,1,0,0
2015.01,산마리노,0,0,0,0,0
2015.01,세인트 바르탤르미,0,0,0,2,-2
2015.01,마이너 아우틀링 합중국 군도,0,0,1,0,0
2015.01,그린랜드,0,0,10,184,-184
2015.02,중국,"86,228","9,927,642","209,100","6,980,874","2,946,768"
2015.02,중국,"86,228","9,927,642","209,100","6,980,874","2,946,768"
2015.02,미국,"60,225","5,021,264","428,678","2,998,216","2,023,048"
2015.02,노르웨이,393,"2,435,701","1,812","219,140","2,216,561"
2015.02,일본,"48,652","2,000,724","83,320","3,837,614","-1,836,890"
2015.02,베트남,"30,055","1,967,141","14,802","634,667","1,332,475"
2015.02,호주,"7,808","1,825,243","16,202","1,451,232","374,011"
2015.02,홍콩,"24,264","1,810,259","10,030","145,086","1,665,174"
2015.02,마샬군도,36,"1,147,170",8,21,"1,147,149"
2015.02,대만,"14,829","974,584","19,533","1,279,351","-304,768"
2015.02,인도,"14,442","960,099","6,211","321,323","638,776"
2015.02,싱가포르,"13,877","852,298","8,271","643,937","208,361"
2015.02,멕시코,"9,646","798,258","4,129","123,717","674,541"
2015.02,사우디아라비아,"3,214","692,943",467,"1,658,847","-965,904"
2015.02,필리핀,"8,820","672,203","6,219","277,795","394,408"
2015.02,인도네시아,"12,355","658,446","6,407","785,701","-127,256"
2015.02,브라질,"8,977","654,091","1,255","263,427","390,663"
2015.02,태국,"12,564","543,731","8,605","366,289","177,441"
2015.02,아랍에미리트 연합,"6,224","480,822",548,"733,851","-253,030"
2015.02,말레이시아,"9,851","470,054","9,898","664,775","-194,721"
2015.02,터키,"4,322","431,952","1,379","53,907","378,045"
2015.02,독일,"10,585","401,384","103,932","1,623,086","-1,221,702"
2015.02,캐나다,"5,260","371,405","5,780","274,496","96,910"
2015.02,이란,"1,921","359,467",117,"214,530","144,937"
2015.02,영국,"6,041","345,344","20,677","385,874","-40,530"
2015.02,러시아 연방,"5,042","324,083","1,436","1,004,892","-680,810"
2015.02,이탈리아,"4,259","288,211","19,488","406,680","-118,469"
2015.02,슬로바키아,"2,661","265,664",591,"14,336","251,328"
2015.02,네덜란드,"5,753","255,079","3,529","428,667","-173,588"
2015.02,베네주엘라,103,"249,784",11,44,"249,741"
2015.02,폴란드,"5,015","213,288","1,131","57,909","155,379"
2015.02,이집트,"2,518","173,245",121,"2,724","170,521"
2015.02,스페인,"3,060","157,047","3,581","105,039","52,008"
2015.02,프랑스,"3,912","146,307","11,303","379,049","-232,742"
2015.02,칠레,"1,571","141,448","1,478","390,839","-249,391"
2015.02,벨기에,"1,469","137,193","1,898","91,591","45,602"
2015.02,뉴질랜드,"1,508","125,420","13,370","94,149","31,270"
2015.02,카타르,528,"123,589",121,"1,306,008","-1,182,420"
2015.02,헝가리,"1,483","120,511","1,149","37,348","83,163"
2015.02,체코공화국,"1,570","114,833","1,396","36,584","78,249"
2015.02,우즈베크,874,"111,062",48,"1,290","109,772"
2015.02,슬로베니아,501,"99,535",214,"7,337","92,198"
2015.02,이라크,573,"98,287",15,"375,553","-277,267"
2015.02,콜롬비아,"1,255","94,990",297,"19,636","75,353"
2015.02,알제리,397,"92,230",11,"65,273","26,957"
2015.02,페루,"1,112","88,859",433,"82,435","6,424"
2015.02,남아프리카공화국,"1,886","84,622",390,"125,843","-41,221"
2015.02,방글라데시,"2,221","81,570",601,"34,314","47,256"
2015.02,이스라엘,"1,819","78,409","1,379","74,718","3,691"
2015.02,요르단,"1,441","74,681",59,"6,315","68,366"
2015.02,오스트리아,"2,296","74,225","2,243","89,891","-15,665"
2015.02,미얀마,979,"72,912",513,"40,304","32,607"
2015.02,쿠웨이트,644,"72,417",79,"791,716","-719,299"
2015.02,맨섬,1,"71,309",2,0,"71,309"
2015.02,토고,87,"71,125",16,"2,025","69,100"
2015.02,오만,395,"65,999",72,"360,254","-294,255"
2015.02,아르헨티나,813,"62,990",279,"64,315","-1,325"
2015.02,덴마크,812,"62,359","2,171","96,112","-33,753"
2015.02,에쿠아도르,578,"61,897",80,"5,552","56,345"
2015.02,앙골라,162,"59,548",15,"1,121","58,427"
2015.02,파키스탄,"1,463","56,609",586,"19,249","37,360"
2015.02,나이지리아,643,"49,603",91,"93,792","-44,190"
2015.02,루마니아,816,"49,198","1,057","45,304","3,895"
2015.02,파나마,636,"49,051",68,"2,887","46,164"
2015.02,스웨덴,"1,229","48,531","2,564","97,854","-49,324"
2015.02,캄보디아,"1,954","47,564",415,"19,953","27,611"
2015.02,예맨,723,"42,956",19,"42,346",610
2015.02,카자흐스탄,728,"39,191",41,"12,283","26,907"
2015.02,핀란드,565,"38,254","1,097","103,296","-65,042"
2015.02,리비아,"2,122","37,675",8,495,"37,180"
2015.02,세네갈,90,"34,474",40,"1,891","32,582"
2015.02,라이베리아,30,"32,563",7,67,"32,496"
2015.02,포루투갈,649,"26,466","1,757","15,505","10,961"
2015.02,아일랜드,363,"26,241",860,"53,435","-27,194"
2015.02,스위스,809,"26,081","3,628","189,802","-163,721"
2015.02,우루과이,235,"23,096",70,"8,247","14,849"
2015.02,케냐,333,"22,570",44,"2,056","20,514"
2015.02,과테말라,482,"21,401",223,"17,473","3,928"
2015.02,도미니카 공화국,427,"21,001",116,"6,689","14,312"
2015.02,리투아니아,269,"20,434",316,"3,775","16,659"
2015.02,모로코,284,"20,306",214,"16,435","3,871"
2015.02,우크라이나,580,"18,807",295,"73,708","-54,901"
2015.02,수단,218,"18,775",15,"1,509","17,266"
2015.02,코스타리카,267,"18,705",368,"13,685","5,020"
2015.02,파라과이,179,"17,932",14,"1,160","16,772"
2015.02,스리랑카,893,"17,865",274,"5,157","12,707"
2015.02,시리아,138,"17,663",5,57,"17,606"
2015.02,가나,535,"16,616",23,"3,010","13,607"
2015.02,아제르바이잔,138,"16,159",1,0,"16,159"
2015.02,푸에르토리코,105,"16,012",149,"15,488",524
2015.02,레바논,241,"15,410",41,"2,294","13,116"
2015.02,바레인,239,"15,110",50,"36,644","-21,534"
2015.02,그리스,698,"14,617",211,"36,434","-21,816"
2015.02,볼리비아,117,"13,318",32,"26,689","-13,371"
2015.02,뉴 칼레도니아,91,"13,288",9,"10,708","2,580"
2015.02,튀니지,157,"12,724",265,"4,337","8,388"
2015.02,엘살바도르,155,"12,685",30,768,"11,916"
2015.02,몽골,911,"12,524","1,301","3,604","8,920"
2015.02,탄자니아,176,"11,566",32,"23,532","-11,966"
2015.02,트리니다드 토바고,109,"11,235",11,387,"10,848"
2015.02,라오스,151,"10,931",26,"1,593","9,338"
2015.02,라트비아,185,"9,956",132,"3,402","6,554"
2015.02,이디오피아,106,"9,657",94,"1,222","8,435"
2015.02,팔레스타인 해방기구,78,"9,496",0,0,"9,496"
2015.02,투르크멘,77,"8,890",0,2,"8,888"
2015.02,파푸아 뉴기니,87,"8,205",19,"31,418","-23,213"
2015.02,코트디봐르,110,"8,045",15,"1,145","6,900"
2015.02,크로아티아,108,"8,029",65,713,"7,316"
2015.02,온두라스,137,"7,656",70,"5,276","2,380"
2015.02,브루나이,103,"7,588",27,"118,750","-111,162"
2015.02,니카라과,198,"7,109",45,963,"6,146"
2015.02,피지,61,"5,630",15,364,"5,266"
2015.02,모잠비크,75,"5,534",5,322,"5,213"
2015.02,불가리아,267,"5,313",313,"4,579",734
2015.02,마이크로네시아,34,"5,156",2,37,"5,119"
2015.02,아프카니스탄,134,"4,811",3,1,"4,810"
2015.02,조지아,110,"4,777",18,755,"4,023"
2015.02,키르기스스탄,416,"4,601",1,119,"4,482"
2015.02,부르키나 파소,27,"4,537",6,401,"4,136"
2015.02,세르비아,90,"4,225",43,"10,404","-6,179"
2015.02,괌,272,"3,758",11,195,"3,563"
2015.02,에스토니아,168,"3,602",144,"7,657","-4,055"
2015.02,기니,29,"3,229",55,"2,336",894
2015.02,가이아나,34,"3,100",2,62,"3,038"
2015.02,모리셔스,106,"3,060",19,356,"2,704"
2015.02,카메룬,61,"3,028",11,105,"2,922"
2015.02,지부티,38,"2,887",0,0,"2,887"
2015.02,아이슬란드,34,"2,848",70,"2,376",472
2015.02,불령 폴리네시아,31,"2,791",1,0,"2,791"
2015.02,잠비아,60,"2,705",15,"19,598","-16,894"
2015.02,마다카스카르,89,"2,538",25,"2,795",-257
2015.02,사모아,14,"2,469",2,86,"2,383"
2015.02,콩고,40,"2,383",42,"3,685","-1,302"
2015.02,몰타,225,"2,324",187,"6,464","-4,140"
2015.02,마카오,112,"2,244",28,637,"1,607"
2015.02,콩고민주공화국,41,"2,222",27,"20,026","-17,804"
2015.02,아이티,67,"2,103",24,163,"1,939"
2015.02,베닝,49,"1,986",0,2,"1,984"
2015.02,불령 리유니온 코모도 제도,43,"1,975",2,0,"1,975"
2015.02,짐바브웨,38,"1,923",7,220,"1,703"
2015.02,타지크,141,"1,923",1,1,"1,922"
2015.02,네덜란드 열도,42,"1,915",1,46,"1,869"
2015.02,쿠바,48,"1,886",3,81,"1,805"
2015.02,베라루스,62,"1,830",32,"4,806","-2,975"
2015.02,아루바,21,"1,660",0,0,"1,660"
2015.02,사이프러스,86,"1,513",21,903,611
2015.02,네팔,98,"1,443",32,119,"1,323"
2015.02,바하마,27,"1,441",3,0,"1,441"
2015.02,룩셈부르그,66,"1,405",127,"3,469","-2,064"
2015.02,세이쉘,29,"1,183",6,263,920
2015.02,기타국,23,932,356,"6,171","-5,239"
2015.02,보스니아-헤르체고비나,22,928,29,698,230
2015.02,가봉,26,905,5,"41,777","-40,872"
2015.02,자마이카,35,904,8,168,737
2015.02,수리남,26,830,1,77,753
2015.02,북마리아나 군도,83,820,0,0,820
2015.02,아르메니아,37,769,26,80,689
2015.02,바베이도스,15,697,1,9,688
2015.02,시에라 리온,16,687,12,586,101
2015.02,우간다,36,684,17,"2,494","-1,810"
2015.02,도미니카,24,676,0,0,676
2015.02,키리바티,59,666,1,0,665
2015.02,모리타니,9,632,19,"2,275","-1,643"
2015.02,벨리제,11,621,3,36,586
2015.02,말라위,21,598,7,"7,641","-7,043"
2015.02,안티가 바부다,7,579,1,2,577
2015.02,말리,10,522,0,0,522
2015.02,티모르,15,486,1,0,486
2015.02,마세도니아,14,461,7,70,391
2015.02,몰디브,43,440,1,4,436
2015.02,몰도바,14,432,37,"1,450","-1,018"
2015.02,에리트리아,2,428,0,0,428
2015.02,버뮤다,9,416,0,0,416
2015.02,알바니아,27,404,44,129,275
2015.02,영령 캐이맨 군도,10,397,0,0,397
2015.02,보츠와나,12,371,2,30,341
2015.02,아메리칸 사모아,8,343,3,128,215
2015.02,과델로프,7,334,0,0,334
2015.02,리히텐슈타인,18,311,31,"3,903","-3,593"
2015.02,나미비아,14,306,6,"1,152",-846
2015.02,영령 버진군도,1,305,1,3,302
2015.02,스와질랜드,15,298,12,84,214
2015.02,바누아투,32,295,7,221,74
2015.02,루안다,21,269,4,31,238
2015.02,세인트 키츠 네비스,7,268,0,0,268
2015.02,마티니크,8,240,0,0,240
2015.02,세인트 루시아,5,217,0,0,217
2015.02,부탄,9,188,1,0,188
2015.02,팔라우,16,187,0,0,187
2015.02,솔로몬 군도,11,174,4,"1,315","-1,141"
2015.02,지브랄타,20,165,0,0,165
2015.02,소말리아,4,142,23,189,-47
2015.02,국제통화기금,5,137,0,0,137
2015.02,불령 가이아나,7,134,2,42,92
2015.02,그레나다,6,117,0,0,117
2015.02,남수단,2,96,0,0,96
2015.02,니제르,5,83,0,0,83
2015.02,감비아,3,67,0,0,67
2015.02,세인트 빈센트 그레나딘,4,61,0,0,61
2015.02,메요트,1,58,0,0,58
2015.02,챠드,4,57,1,0,57
2015.02,적도 기니,5,55,3,"118,936","-118,881"
2015.02,안도라,2,36,5,34,1
2015.02,나우르,2,36,1,11,25
2015.02,기네비소,2,35,1,25,10
2015.02,통가,4,35,1,6,29
2015.02,모나코,4,28,11,474,-446
2015.02,몬테네그로,1,23,2,2,21
2015.02,큐라소,4,21,0,0,21
2015.02,카보 베르데,3,6,0,0,6
2015.02,포클랜드 군도,1,6,0,0,6
2015.02,산마리노,1,5,0,0,5
2015.02,앙귈라,1,5,0,0,5
2015.02,남조지아 & 남샌드위치 군도,1,3,0,0,3
2015.02,부룬디,2,3,3,57,-54
2015.02,세인트 헬레나,2,1,2,4,-2
2015.02,중앙아프리카공화국,1,1,0,0,1
2015.02,코스 군도,0,0,2,1,-1
2015.02,크리스마스 아일랜드,0,0,0,0,0
2015.02,세인트 마틴,2,0,0,0,0
2015.02,토켈라우,0,0,2,18,-18
2015.02,레소토,0,0,0,1,-1
2015.02,쿡 아일랜드,0,0,1,7,-7
2015.02,그린랜드,0,0,14,376,-376
2015.02,미령 버진군도,0,0,4,5,-5
2015.02,몬트세라트,0,0,1,36,-36
2015.02,니우에,0,0,1,3,-3
2015.02,코모로스,0,0,1,10,-10
2015.03,중국,"117,529","11,868,032","234,321","7,226,911","4,641,121"
2015.03,미국,"75,789","6,795,064","491,428","4,055,574","2,739,490"
2015.03,홍콩,"32,343","2,545,224","12,134","125,163","2,420,061"
2015.03,베트남,"41,289","2,443,344","17,081","701,426","1,741,918"
2015.03,일본,"60,018","2,127,216","98,373","4,383,839","-2,256,623"
2015.03,싱가포르,"17,374","1,586,323","10,220","810,565","775,759"
2015.03,멕시코,"11,542","1,393,869","5,318","307,411","1,086,458"
2015.03,대만,"18,556","1,102,064","23,005","1,462,014","-359,950"
2015.03,인도,"17,129","1,069,518","7,835","329,535","739,983"
2015.03,사우디아라비아,"4,301","887,264",527,"1,538,678","-651,414"
2015.03,필리핀,"10,701","818,050","7,655","266,528","551,522"
2015.03,호주,"9,742","759,678","16,318","1,308,349","-548,672"
2015.03,브라질,"9,947","683,285","1,739","385,683","297,602"
2015.03,인도네시아,"15,495","675,338","8,069","772,822","-97,484"
2015.03,말레이시아,"11,903","595,743","11,701","925,992","-330,249"
2015.03,아랍에미리트 연합,"7,552","583,576",657,"726,115","-142,539"
2015.03,태국,"14,524","571,545","10,363","464,402","107,143"
2015.03,터키,"5,615","556,923","1,884","57,351","499,572"
2015.03,독일,"12,924","505,957","127,391","1,871,302","-1,365,345"
2015.03,이란,"2,152","455,234",126,"239,489","215,745"
2015.03,캐나다,"6,672","452,683","7,282","333,706","118,977"
2015.03,영국,"7,444","406,408","25,319","486,669","-80,261"
2015.03,러시아 연방,"5,731","366,014","1,543","881,558","-515,543"
2015.03,라이베리아,18,"363,656",9,74,"363,582"
2015.03,이탈리아,"5,439","356,051","25,676","546,271","-190,220"
2015.03,프랑스,"4,965","349,249","14,243","594,970","-245,721"
2015.03,네덜란드,"6,761","336,413","4,147","361,787","-25,374"
2015.03,몰타,271,"306,873",213,"26,774","280,099"
2015.03,슬로바키아,"3,081","303,778",749,"21,012","282,766"
2015.03,노르웨이,505,"299,554","2,389","269,694","29,859"
2015.03,덴마크,973,"222,088","2,801","89,501","132,588"
2015.03,파나마,898,"216,367",99,"13,496","202,872"
2015.03,폴란드,"5,615","213,912","1,545","64,406","149,506"
2015.03,마샬군도,37,"197,149",6,8,"197,141"
2015.03,스페인,"3,762","195,035","5,913","180,970","14,065"
2015.03,이집트,"3,623","182,833",136,"33,033","149,800"
2015.03,벨기에,"1,832","167,785","2,716","130,522","37,263"
